"skill_id","experience_id","name","skill_level"
"1","6","WordPress Development","10"
"2","6","WooCommerce","9"
"3","6","Elementor Pro","10"
"4","6","PHP","7"
"5","6","HTML5","9"
"6","6","CSS3","9"
"7","6","SEO Optimization","8"
"8","6","Website Performance Optimization","8"
"9","4","Python","8"
"10","4","Pandas","8"
"11","4","NumPy","7"
"12","4","SQL","7"
"13","4","Excel","9"
"14","4","Power BI","8"
"15","4","Tableau","7"
"16","4","Data Analysis","8"
"17","4","Artificial Intelligence Fundamentals","7"